"","c*s*","c*s","cs*","cs"
"79",0.963,0.037,0,0
"80",1,0,0,0
"81",1,0,0,0
"82",1,0,0,0
"83",1,0,0,0
"Bilateria",1,0,0,0
"85",1,0,0,0
"Porifera",0.934,0.066,0,0
"Homosc_Calc",0.933,0.053,0.013,0.001
"Homoscleromorpha",0.891,0.107,0.002,0
"Calcarea",0.023,0,0.975,0.002
"90",0,0,0.999,0
"91",0.001,0,0.998,0
"92",0.11,0.89,0,0
"93",0.082,0.918,0,0
"94",0.081,0.918,0,0.001
"95",0.081,0.918,0,0.001
"96",0.035,0.965,0,0
"97",0.001,0.404,0.023,0.573
"Hex_Dem",0.082,0.918,0,0
"Hexactinellida",0.026,0.974,0,0
"100",0.023,0.977,0,0
"Demospongiae",0.091,0.909,0,0
"102",0.674,0.326,0,0
"103",0.993,0.006,0.001,0
"104",0.992,0,0.008,0
"105",1,0,0,0
"106",0.918,0.082,0,0
"107",0.92,0.08,0,0
"108",0.992,0.008,0,0
"109",0.026,0.974,0,0
"110",0.005,0.995,0,0
"111",0.002,0.998,0,0
"112",0.003,0.997,0,0
"113",0.002,0.998,0,0
"114",0,1,0,0
"115",0,1,0,0
"116",0,1,0,0
"117",0,1,0,0
"118",0,1,0,0
"119",0,1,0,0
"120",0,1,0,0
"121",0,1,0,0
"122",0,1,0,0
"123",0,1,0,0
"124",0,1,0,0
"125",0,1,0,0
"126",0,1,0,0
"127",0,1,0,0
"128",0,1,0,0
"129",0,1,0,0
"130",0,1,0,0
"131",0,1,0,0
"132",0,1,0,0
"133",0,1,0,0
"134",0,1,0,0
"135",0,1,0,0
"136",0,1,0,0
"137",0,1,0,0
"138",0,1,0,0
"139",0,1,0,0
"140",0,1,0,0
"141",0,1,0,0
"142",0,1,0,0
"143",0,1,0,0
"144",0,1,0,0
"145",0,1,0,0
"146",0,1,0,0
"147",0,1,0,0
"148",0,1,0,0
"149",0,1,0,0
"150",0,1,0,0
"151",0,1,0,0
"152",0,1,0,0
"153",0,1,0,0
"154",0,1,0,0
