"","A","Pc*s*","Pc*s","Pcs*","Pcs"
"79",0.722,0,0.005,0,0.273
"80",0.998,0,0,0,0.002
"81",1,0,0,0,0
"82",0.999,0,0,0,0
"83",1,0,0,0,0
"Bilateria",0.999,0,0,0,0
"85",0.999,0,0,0,0
"Porifera",0.713,0,0.014,0,0.273
"Homosc_Calc",0.739,0.001,0.035,0.016,0.209
"Homoscleromorpha",0.717,0.001,0.2,0.002,0.08
"Calcarea",0.031,0.001,0,0.968,0.001
"90",0.001,0,0,0.999,0
"91",0.003,0,0,0.997,0
"92",0.022,0,0.705,0,0.273
"Hex_Dem",0.005,0,0.722,0,0.273
"94",0.001,0,0.722,0,0.277
"Hexactinellida",0,0,0.865,0,0.134
"96",0,0,0.876,0,0.123
"97",0.001,0,0.72,0,0.279
"98",0,0,0.884,0,0.116
"99",0,0,0.298,0,0.701
"Demospongiae",0.014,0,0.814,0,0.172
"101",0.629,0,0.316,0,0.054
"102",0.992,0,0.006,0.002,0.001
"103",0.989,0,0,0.011,0
"104",1,0,0,0,0
"105",0.895,0,0.099,0,0.005
"106",0.898,0,0.1,0,0.002
"107",0.991,0,0.009,0,0
"108",0.001,0,0.903,0,0.096
"109",0,0,0.974,0,0.025
"110",0,0,0.988,0,0.012
"111",0,0,0.97,0,0.03
"112",0,0,0.982,0,0.018
"113",0,0,0.999,0,0.001
"114",0,0,1,0,0
"115",0,0,1,0,0
"116",0,0,1,0,0
"117",0,0,1,0,0
"118",0,0,1,0,0
"119",0,0,0.989,0,0.011
"120",0,0,0.998,0,0.002
"121",0,0,0.999,0,0.001
"122",0,0,1,0,0
"123",0,0,1,0,0
"124",0,0,1,0,0
"125",0,0,1,0,0
"126",0,0,1,0,0
"127",0,0,1,0,0
"128",0,0,1,0,0
"129",0,0,0.994,0,0.006
"130",0,0,1,0,0
"131",0,0,1,0,0
"132",0,0,0.998,0,0.002
"133",0,0,1,0,0
"134",0,0,0.999,0,0.001
"135",0,0,1,0,0
"136",0,0,1,0,0
"137",0,0,1,0,0
"138",0,0,1,0,0
"139",0,0,1,0,0
"140",0,0,1,0,0
"141",0,0,1,0,0
"142",0,0,1,0,0
"143",0,0,1,0,0
"144",0,0,1,0,0
"145",0,0,1,0,0
"146",0,0,1,0,0
"147",0,0,1,0,0
"148",0,0,1,0,0
"149",0,0,1,0,0
"150",0,0,1,0,0
"151",0,0,1,0,0
"152",0,0,1,0,0
"153",0,0,1,0,0
