"","c*s*","c*s1","c*s2","c*s3","cs*","cs1","cs2","cs3"
"79",0.991,0,0,0,0.009,0,0,0
"80",0.996,0,0,0,0.004,0,0,0
"81",0.997,0,0,0,0.003,0,0,0
"82",1,0,0,0,0,0,0,0
"83",0.997,0,0,0,0.003,0,0,0
"Bilateria",0.997,0,0,0,0.003,0,0,0
"85",0.997,0,0,0,0.003,0,0,0
"Porifera",0.989,0.002,0,0,0.009,0,0,0
"Homosc_Calc",0.984,0.001,0,0.001,0.014,0,0,0
"Homoscleromorpha",0.962,0.001,0.001,0.032,0.003,0,0,0
"Calcarea",0.018,0,0,0,0.982,0,0,0
"90",0,0,0,0,1,0,0,0
"91",0.001,0,0,0,0.999,0,0,0
"92",0.769,0.21,0.009,0.004,0.009,0,0,0
"93",0.754,0.223,0.01,0.004,0.009,0,0,0
"94",0.671,0.25,0.038,0.032,0.009,0,0,0
"95",0.67,0.25,0.039,0.032,0.009,0,0,0
"96",0.301,0.372,0.165,0.158,0.001,0.001,0.001,0.001
"97",0.004,0.172,0.083,0.08,0.198,0.235,0.116,0.112
"Hex_Dem",0.756,0.223,0.009,0.003,0.008,0,0,0
"Hexactinellida",0.044,0.95,0,0.002,0,0.003,0,0
"100",0.034,0.961,0,0.002,0,0.003,0,0
"Demospongiae",0.854,0.059,0.078,0.002,0.007,0,0,0
"102",0.957,0.016,0.021,0.001,0.006,0,0,0
"103",0.995,0,0,0,0.004,0,0,0
"104",0.992,0,0,0,0.008,0,0,0
"105",0.999,0,0,0,0.001,0,0,0
"106",0.993,0.002,0.003,0,0.001,0,0,0
"107",0.991,0.003,0.004,0.002,0,0,0,0
"108",0.999,0,0,0,0,0,0,0
"109",0.06,0.003,0.932,0.001,0.001,0,0.004,0
"110",0.003,0,0.996,0,0,0,0.001,0
"111",0.001,0,0.999,0,0,0,0.001,0
"112",0.001,0,0.997,0,0,0,0.002,0
"113",0,0,0.998,0,0,0,0.001,0
"114",0,0,1,0,0,0,0,0
"115",0,0,1,0,0,0,0,0
"116",0,0,1,0,0,0,0,0
"117",0,0,1,0,0,0,0,0
"118",0,0,1,0,0,0,0,0
"119",0,0,1,0,0,0,0,0
"120",0,0,0.999,0,0,0,0.001,0
"121",0,0,1,0,0,0,0,0
"122",0,0,1,0,0,0,0,0
"123",0,0,1,0,0,0,0,0
"124",0,0,1,0,0,0,0,0
"125",0,0,1,0,0,0,0,0
"126",0,0,1,0,0,0,0,0
"127",0,0,1,0,0,0,0,0
"128",0,0,1,0,0,0,0,0
"129",0,0,1,0,0,0,0,0
"130",0,0,0.999,0,0,0,0.001,0
"131",0,0,1,0,0,0,0,0
"132",0,0,1,0,0,0,0,0
"133",0,0,1,0,0,0,0,0
"134",0,0,1,0,0,0,0,0
"135",0,0,1,0,0,0,0,0
"136",0,0,1,0,0,0,0,0
"137",0,0,1,0,0,0,0,0
"138",0,0,1,0,0,0,0,0
"139",0,0,1,0,0,0,0,0
"140",0,0,1,0,0,0,0,0
"141",0,0,1,0,0,0,0,0
"142",0,0,1,0,0,0,0,0
"143",0,0,1,0,0,0,0,0
"144",0,0,1,0,0,0,0,0
"145",0,0,1,0,0,0,0,0
"146",0,0,1,0,0,0,0,0
"147",0,0,1,0,0,0,0,0
"148",0,0,1,0,0,0,0,0
"149",0,0,1,0,0,0,0,0
"150",0,0,1,0,0,0,0,0
"151",0,0,1,0,0,0,0,0
"152",0,0,1,0,0,0,0,0
"153",0,0,1,0,0,0,0,0
"154",0,0,1,0,0,0,0,0
