"","FAD","LAD"
"Mycale_tridens",0,0
"Mycale_laevis",0,0
"Helicolocellus",551,539
"Eiffelia",511.2,506.5
"Kirkpatrickia_variolosa",0,0
"Spheciospongia_vesparium",0,0
"Chondrocladia_roberballardi",0,0
"Halisarca_caerulea",0,0
"Leucetta_giribeti",0,0
"Rossella_fibulata",0,0
"Oscarella_pearsei",0,0
"Aurelia_aurita",0,0
"Sycon_ciliatum",0,0
"Sympagella_nux",0,0
"Sycon_coactum",0,0
"Corticium_candelabrum",0,0
"Homo_sapiens",0,0
"Halisarca_dujardini",0,0
"Prosuberites_sp",0,0
"Pseudospongosorites_suberitoides",0,0
"Iophon_unicorne",0,0
"Latrunculia_apicalis",0,0
"Halichondria_panicea",0,0
"Isodyctia_sp",0,0
"Dendrilla_antarctica",0,0
"Lottia_gigantea",0,0
"Vauxia",505,505
"Vaceletia_sp",0,0
"Spongia_officinalis",0,0
"Ircinia_fasciculata",0,0
"Nematostella_vectensis",0,0
"Haliclona_penicillata",0,0
"Petrosia_ficiformis",0,0
"Amphimedon_queenslandica",0,0
"Eunapius_fragilis",0,0
"Craniella_infrequens",0,0
"Scopalina_sp",0,0
"Scopalina_ruetzleri",0,0
"Ephydatia_muelleri",0,0
"Baikalospongia_bacillifera",0,0
"Lubomirskia_abietina",0,0
"Lubomirskia_baicalensis",0,0
"Spongilla_lacustris",0,0
"Geodia_phlegrai",0,0
"Geodia_atlantica",0,0
"Poecillastra_compressa",0,0
"Stryphnus_fortis",0,0
"Stelletta_normani",0,0
"Geodia_macandrewi",0,0
"Geodia_hentscheli",0,0
"Geodia_barretti",0,0
"Geodia_parva",0,0
"Phakellia_ventilabrum",0,0
"Phakellia_robusta",0,0
"Cymbastela_concentrica",0,0
"Tethya_wilhelma",0,0
"Tedania_anhelans",0,0
"Charnia",570,541
"Minitaspongia",358.9,346.7
"Polymastia_invaginata",0,0
"Phorbas_areolatus",0,0
"Cymbaxinella_damicornis",0,0
"Agelas_schmidti",0,0
"Protospongia",515,505
"Cyathophycus",485.4,427.4
"Diagoniella",509,504.5
"Cliona_varians",0,0
"Crambe_crambe",0,0
"Mycale_phyllophila",0,0
"Mycale_lingua",0,0
"Crella_elegans",0,0
"Mycale_acerata",0,0
"Chondrilla_caribensis",0,0
"Aplysina_aerophoba",0,0
"Bolinopsis_ashleyi",0,0
"Pleurobrachia_bachei",0,0
"Vazella_pourtalesi",0,0
"Clathrina_coriacea",0,0
